good article click::good article click
free and open-source::free and open-source
community-based development model::community-based development model
alternative implementations cpython::alternative implementations cpython
cpython is managed::cpython is managed
non-profit python software::non-profit python software
software foundation contents::software foundation contents
features and philosophy::features and philosophy
syntax and semantics::syntax and semantics
statements and control::statements and control
influenced by python::influenced by python
external links history::external links history
creator of python::creator of python
python main article::python main article
history of python::history of python
python was conceived::python was conceived
implementation was started::implementation was started
started in december::started in december
rossum at cwi::rossum at cwi
inspired by setl::inspired by setl
capable of exception::capable of exception
handling and interfacing::handling and interfacing
amoeba operating system::amoeba operating system
rossum is python::rossum is python
python s principal::python s principal
continuing central role::continuing central role
role in deciding::role in deciding
deciding the direction::deciding the direction
direction of python::direction of python
python is reflected::python is reflected
dictator for life::dictator for life
origin of python::origin of python
van rossum wrote::van rossum wrote
hobby " programming::hobby " programming
week around christmas::week around christmas
christmas my office::christmas my office
hands i decided::hands i decided
decided to write::decided to write
write an interpreter::write an interpreter
descendant of abc::descendant of abc
hackers i chose::hackers i chose
slightly irreverent mood::slightly irreverent mood
fan of monty::fan of monty
python s flying::python s flying
included many major::included many major
major new features::major new features
including a full::including a full
full garbage collector::full garbage collector
collector and support::collector and support
support for unicode::support for unicode
release the development::release the development
process was changed::process was changed
transparent and community-backed::transparent and community-backed
period of testing::period of testing
multi-paradigm programming language::multi-paradigm programming language
programming and structured::programming and structured
number of language::number of language
features which support::features which support
support functional programming::support functional programming
programming and aspect-oriented::programming and aspect-oriented
including by metaprogramming::including by metaprogramming
paradigms are supported::paradigms are supported
supported using extensions::supported using extensions
design by contract::design by contract
python uses dynamic::python uses dynamic
combination of reference::combination of reference
cycle-detecting garbage collector::cycle-detecting garbage collector
collector for memory::collector for memory
management an important::management an important
feature of python::feature of python
python is dynamic::python is dynamic
dynamic name resolution::dynamic name resolution
method and variable::method and variable
names during program::names during program
execution the design::execution the design
design of python::design of python
offers some support::offers some support
support for functional::support for functional
tradition the language::tradition the language
language has map::language has map
functions ; comprehensions::functions ; comprehensions
comprehensions for lists::comprehensions for lists
itertools and functools::itertools and functools
implement functional tools::implement functional tools
functional tools borrowed::functional tools borrowed
borrowed from haskell::borrowed from haskell
haskell and standard::haskell and standard
language is summarized::language is summarized
document " pep::document " pep
zen of python::zen of python
complicated readability counts::complicated readability counts
requiring all desired::requiring all desired
language s core::language s core
python was designed::python was designed
highly extensible python::highly extensible python
embedded in existing::embedded in existing
interface this design::interface this design
small core language::small core language
large standard library::large standard library
easily extensible interpreter::easily extensible interpreter
interpreter was intended::interpreter was intended
intended by van::intended by van
frustrations with abc::frustrations with abc
espoused the opposite::espoused the opposite
choice in coding::choice in coding
python philosophy rejects::python philosophy rejects
philosophy rejects exuberant::philosophy rejects exuberant
rejects exuberant syntax::rejects exuberant syntax
grammar as alex::grammar as alex
alex martelli put::alex martelli put
considered a compliment::considered a compliment
python s philosophy::python s philosophy
rejects the perl::rejects the perl
approach to language::approach to language
design in favor::design in favor
python s developers::python s developers
strive to avoid::strive to avoid
avoid premature optimization::avoid premature optimization
patches to non-critical::patches to non-critical
parts of cpython::parts of cpython
offer a marginal::offer a marginal
increase in speed::increase in speed
cost of clarity::cost of clarity
speed is important::speed is important
programmers use pypy::programmers use pypy
move time-critical functions::move time-critical functions
functions to extension::functions to extension
extension modules written::extension modules written
written in languages::written in languages
translates a python::translates a python
direct c level::direct c level
level api calls::level api calls
interpreter an important::interpreter an important
developers is making::developers is making
making python fun::making python fun
occasionally playful approach::occasionally playful approach
approach to tutorials::approach to tutorials
tutorials and reference::tutorials and reference
spam and eggs::spam and eggs
foo and bar::foo and bar
community is pythonic::community is pythonic
range of meanings::range of meanings
related to program::related to program
code is pythonic::code is pythonic
natural or shows::natural or shows
conforms with python::conforms with python
python s minimalist::python s minimalist
philosophy and emphasis::philosophy and emphasis
emphasis on readability::emphasis on readability
readability in contrast::readability in contrast
difficult to understand::difficult to understand
understand or reads::understand or reads
users and admirers::users and admirers
admirers of python::admirers of python
knowledgeable or experienced::knowledgeable or experienced
python is intended::python is intended
highly readable language::highly readable language
frequently using english::frequently using english
languages use punctuation::languages use punctuation
number of syntactic::number of syntactic
exceptions and special::exceptions and special
semantics § indentation::semantics § indentation
python uses whitespace::python uses whitespace
braces or keywords::braces or keywords
termed the off-side::termed the off-side
rule an increase::rule an increase
increase in indentation::increase in indentation
decrease in indentation::decrease in indentation
signifies the end::signifies the end
python s statements::python s statements
executes a block::executes a block
block of code::block of code
contraction of else-if::contraction of else-if
capturing each element::capturing each element
condition is true::condition is true
attached code block::attached code block
caught and handled::caught and handled
ensures that clean-up::ensures that clean-up
exits the class::exits the class
code and attaches::code and attaches
attaches its local::attaches its local
programming the def::programming the def
defines a function::defines a function
function or method::function or method
encloses a code::encloses a code
acquiring a lock::acquiring a lock
code is run::code is run
run and releasing::run and releasing
releasing the lock::releasing the lock
opening a file::opening a file
allowing raii-like behavior::allowing raii-like behavior
behavior the pass::behavior the pass
needed to create::needed to create
create an empty::create an empty
empty code block::empty code block
block the assert::block the assert
debugging to check::debugging to check
check for conditions::check for conditions
apply the yield::apply the yield
returns a value::returns a value
function from python::function from python
operator this form::operator this form
coroutines the import::coroutines the import
modules whose functions::modules whose functions
functions or variables::functions or variables
program the print::program the print
statement was changed::statement was changed
function in python::function in python
support tail-call optimization::support tail-call optimization
optimization or first-class::optimization or first-class
support for coroutine-like::support for coroutine-like
functionality is provided::functionality is provided
python s generators::python s generators
generators were lazy::generators were lazy
iterators ; information::iterators ; information
information was passed::information was passed
passed through multiple::passed through multiple
multiple stack levels::multiple stack levels
expressions are similar::expressions are similar
similar to languages::similar to languages
behavior of division::behavior of division
mathematics for details::mathematics for details
python also added::python also added
operator for exponentiation::operator for exponentiation
exponentiation in python::exponentiation in python
compares by value::compares by value
contrast to java::contrast to java
compares by reference::compares by reference
comparisons in java::comparisons in java
compare object identities::compare object identities
comparison by reference::comparison by reference
type of expression::type of expression
termed a list::termed a list
list comprehension python::list comprehension python
extended list comprehensions::extended list comprehensions
general expression termed::general expression termed
termed a generator::termed a generator
functions are implemented::functions are implemented
implemented using lambda::implemented using lambda
single expression conditional::single expression conditional
expression conditional expressions::expression conditional expressions
expressions in python::expressions in python
python are written::python are written
order of operands::order of operands
makes a distinction::makes a distinction
distinction between lists::distinction between lists
lists and tuples::lists and tuples
lists are written::lists are written
keys of dictionaries::keys of dictionaries
immutable in python::immutable in python
tuples are written::tuples are written
provided all elements::provided all elements
tuple are immutable::tuple are immutable
immutable the parentheses::immutable the parentheses
tuple are optional::tuple are optional
swap two variables::swap two variables
two variables python::two variables python
format " operator::format " operator
analogous to printf::analogous to printf
printf format strings::printf format strings
e.g " foo::e.g " foo
foo = blah::foo = blah
kinds of string::kinds of string
delimited by single::delimited by single
single or double::single or double
double quotation marks::double quotation marks
unlike in unix::unlike in unix
perl and perl-influenced::perl and perl-influenced
single quotation marks::single quotation marks
marks and double::marks and double
quotation marks function::quotation marks function
marks function identically::marks function identically
identically both kinds::identically both kinds
implicit string interpolation::implicit string interpolation
begin and end::begin and end
span multiple lines::span multiple lines
lines and function::lines and function
documents in shells::documents in shells
perl and ruby::perl and ruby
ruby raw string::ruby raw string
raw string varieties::raw string varieties
denoted by prefixing::denoted by prefixing
prefixing the string::prefixing the string
sequences are interpreted::sequences are interpreted
backslashes are common::backslashes are common
expressions and windows-style::expressions and windows-style
windows-style paths compare::windows-style paths compare
python has index::python has index
index and slice::index and slice
expressions on lists::expressions on lists
indexes are zero-based::indexes are zero-based
indexes are relative::indexes are relative
slices take elements::slices take elements
step or stride::step or stride
skipped and reversed::skipped and reversed
reversed slice indexes::reversed slice indexes
returns a copy::returns a copy
list each element::list each element
copy in python::copy in python
distinction between expressions::distinction between expressions
expressions and statements::expressions and statements
contrast to languages::contrast to languages
ruby this leads::ruby this leads
duplication of functionality::duplication of functionality
comprehensions vs for-loops::comprehensions vs for-loops
for-loops conditional expressions::for-loops conditional expressions
blocks the eval::blocks the eval
comprehensions or lambda::comprehensions or lambda
advantage of avoiding::advantage of avoiding
avoiding a classic::avoiding a classic
classic c error::classic c error
error of mistaking::error of mistaking
mistaking an assignment::mistaking an assignment
valid c code::valid c code
error in python::error in python
methods on objects::methods on objects
objects are functions::objects are functions
object s class::object s class
methods and functions::methods and functions
sugar for class.method::sugar for class.method
explicit self parameter::explicit self parameter
parameter to access::parameter to access
access instance data::access instance data
object-oriented programming languages::object-oriented programming languages
python uses duck::python uses duck
objects but untyped::objects but untyped
untyped variable names::untyped variable names
variable names type::variable names type
names type constraints::names type constraints
checked at compile::checked at compile
object may fail::object may fail
adding a number::adding a number
attempting to make::attempting to make
python allows programmers::python allows programmers
programmers to define::programmers to define
types using classes::types using classes
programming new instances::programming new instances
instances of classes::instances of classes
classes are constructed::classes are constructed
constructed by calling::constructed by calling
calling the class::calling the class
metaprogramming and reflection::metaprogramming and reflection
prior to version::prior to version
kinds of classes::kinds of classes
classes were eliminated::classes were eliminated
eliminated in python::eliminated in python
making all classes::making all classes
new-style in versions::new-style in versions
object is inherited::object is inherited
new-style classes inherit::new-style classes inherit
inherit from object::inherit from object
instances of type::instances of type
summary of python::summary of python
built-in types type::built-in types type
types type description::types type description
type description syntax::type description syntax
syntax example str::syntax example str
str a character::str a character
sequence of unicode::sequence of unicode
unicode codepoints wikipedia::unicode codepoints wikipedia
spanning multiple lines::spanning multiple lines
bytearray a mutable::bytearray a mutable
sequence of bytes::sequence of bytes
bytes an immutable::bytes an immutable
bytes bsome ascii::bytes bsome ascii
ascii " bytes::ascii " bytes
list mutable list::list mutable list
frozenset unordered set::frozenset unordered set
duplicates a frozenset::duplicates a frozenset
frozenset is immutable::frozenset is immutable
dict a mutable::dict a mutable
mutable associative array::mutable associative array
key and value::key and value
keys and values::keys and values
int an immutable::int an immutable
integer of unlimited::integer of unlimited
float an immutable::float an immutable
immutable floating point::immutable floating point
floating point number::floating point number
complex an immutable::complex an immutable
immutable complex number::immutable complex number
number with real::number with real
real and imaginary::real and imaginary
bool an immutable::bool an immutable
immutable boolean value::immutable boolean value
boolean value true::boolean value true
value true false::value true false
true false ellipsis::true false ellipsis
ellipsis an ellipsis::ellipsis an ellipsis
index in numpy::index in numpy
usual c arithmetic::usual c arithmetic
matrix multiply operator::matrix multiply operator
operator @ coming::operator @ coming
division has changed::division has changed
operator is integer::operator is integer
operands are integers::operands are integers
floating point division::floating point division
division otherwise integer::division otherwise integer
integer division rounds::integer division rounds
division to round::division to round
round towards negative::round towards negative
operator is introduced::operator is introduced
adding from __future__::adding from __future__
__future__ import division::__future__ import division
rules for division::rules for division
division in python::division in python
rounding towards negative::rounding towards negative
consistency for instance::consistency for instance
positive and negative::positive and negative
maintaining the validity::maintaining the validity
function for rounding::function for rounding
floats to integers::floats to integers
exact numerical representation::exact numerical representation
rounding modes python::rounding modes python
python allows boolean::python allows boolean
expressions with multiple::expressions with multiple
multiple equality relations::multiple equality relations
consistent with general::consistent with general
usage in mathematics::usage in mathematics
c-derived languages interpret::c-derived languages interpret
interpret this expression::interpret this expression
due to python::due to python
python s extensive::python s extensive
extensive mathematics library::extensive mathematics library
scientific scripting language::scientific scripting language
language to aid::language to aid
aid in problems::aid in problems
processing and manipulation::processing and manipulation
python s greatest::python s greatest
providing tools suited::providing tools suited
philosophy for internet-facing::philosophy for internet-facing
number of standard::number of standard
formats and protocols::formats and protocols
mime and http::mime and http
modules for creating::modules for creating
creating graphical user::creating graphical user
graphical user interfaces::graphical user interfaces
connecting to relational::connecting to relational
pseudorandom number generators::pseudorandom number generators
arithmetic with arbitrary::arithmetic with arbitrary
arbitrary precision decimals::arbitrary precision decimals
manipulating regular expressions::manipulating regular expressions
doing unit testing::doing unit testing
included some parts::included some parts
library are covered::library are covered
covered by specifications::covered by specifications
wsgi implementation wsgiref::wsgi implementation wsgiref
wsgiref follows pep::wsgiref follows pep
library is cross-platform::library is cross-platform
cross-platform python code::cross-platform python code
rewritten by alternative::rewritten by alternative
implementations the standard::implementations the standard
essential to run::essential to run
python or embed::python or embed
python package index::python package index
repository of third-party::repository of third-party
software for python::software for python
54,000 packages offering::54,000 packages offering
offering a wide::offering a wide
range of functionality::range of functionality
networking and communications::networking and communications
communications test frameworks::communications test frameworks
automation and web::automation and web
system administration scientific::system administration scientific
administration scientific computing::administration scientific computing
image processing development::image processing development
processing development environments::processing development environments
comparison of integrated::comparison of integrated
integrated development environments::integrated development environments
environments § python::environments § python
python most python::python most python
command line interpreter::command line interpreter
user enters statements::user enters statements
sequentially and receives::sequentially and receives
receives the results::receives the results
shell other shells::shell other shells
shells add capabilities::shells add capabilities
idle and ipython::idle and ipython
features like auto-completion::features like auto-completion
retention of session::retention of session
highlighting in addition::highlighting in addition
addition to standard::addition to standard
standard desktop python::standard desktop python
desktop python ides::desktop python ides
intended for developing::intended for developing
science and math-related::science and math-related
math-related python programs::math-related python programs
ide and hosting::ide and hosting
list of python::list of python
software § python::software § python
implementations the main::implementations the main
main python implementation::main python implementation
meeting the c89::meeting the c89
compiles python programs::compiles python programs
programs into intermediate::programs into intermediate
cpython is distributed::cpython is distributed
standard library written::standard library written
including microsoft windows::including microsoft windows
modern unix-like systems::modern unix-like systems
unix-like systems cpython::unix-like systems cpython
cpython was intended::cpython was intended
interpreter of python::interpreter of python
just-in-time compiler brings::just-in-time compiler brings
brings a significant::brings a significant
significant speed improvement::significant speed improvement
improvement over cpython::improvement over cpython
version taking advantage::version taking advantage
advantage of multi-core::advantage of multi-core
processors using software::processors using software
software transactional memory::software transactional memory
fork of cpython::fork of cpython
cpython that implements::cpython that implements
allowing massively concurrent::allowing massively concurrent
massively concurrent programs::massively concurrent programs
concurrent programs pypy::concurrent programs pypy
started a project::started a project
project called unladen::project called unladen
aims of increasing::aims of increasing
increasing the speed::increasing the speed
llvm and improving::llvm and improving
improving its multithreading::improving its multithreading
ability to scale::ability to scale
scale to thousands::scale to thousands
thousands of cores::thousands of cores
compiler that integrates::compiler that integrates
integrates with cpython::integrates with cpython
cpython and transforms::cpython and transforms
bytecode to machine::bytecode to machine
code at runtime::code at runtime
runtime the produced::runtime the produced
code is specialised::code is specialised
faster than standard::faster than standard
standard python code::standard python code
released a python::released a python
phones called pys60::phones called pys60
pys60 it includes::pys60 it includes
modules for integration::modules for integration
symbian operating system::symbian operating system
system this project::system this project
date to run::date to run
n900 also supports::n900 also supports
python with gtk::python with gtk
gtk widget libraries::gtk widget libraries
feature that programs::feature that programs
written and run::written and run
compilers to high-level::compilers to high-level
high-level object languages::high-level object languages
subset of python::subset of python
similar to python::similar to python
compiles into java::compiles into java
java byte code::java byte code
java virtual machine::java virtual machine
virtual machine implementation::virtual machine implementation
java class library::java class library
class library functions::class library functions
python program ironpython::python program ironpython
approach in order::approach in order
order to run::order to run
run python programs::run python programs
.net common language::.net common language
common language runtime::common language runtime
runtime the rpython::runtime the rpython
common intermediate language::common intermediate language
build the pypy::build the pypy
python pyjamas compiles::python pyjamas compiles
pyjamas compiles python::pyjamas compiles python
python to javascript::python to javascript
javascript shed skin::javascript shed skin
shed skin compiles::shed skin compiles
skin compiles python::skin compiles python
cython and pyrex::cython and pyrex
workload was presented::workload was presented
presented at euroscipy::presented at euroscipy
python s development::python s development
development is conducted::development is conducted
python enhancement proposal::python enhancement proposal
process the pep::process the pep
mechanism for proposing::mechanism for proposing
collecting community input::collecting community input
documenting the design::documenting the design
peps are reviewed::peps are reviewed
reviewed and commented::reviewed and commented
project s bdfl::project s bdfl
cpython reference implementation::cpython reference implementation
implementation the mailing::implementation the mailing
mailing list python-dev::mailing list python-dev
forum for discussion::forum for discussion
language s development::language s development
development ; specific::development ; specific
issues are discussed::issues are discussed
roundup bug tracker::roundup bug tracker
bug tracker maintained::bug tracker maintained
maintained at python.org::maintained at python.org
development takes place::development takes place
self-hosted source code::self-hosted source code
source code repository::source code repository
code repository running::code repository running
repository running mercurial::repository running mercurial
cpython s public::cpython s public
number is incremented::number is incremented
code is expected::code is expected
expected to break::expected to break
ported the first::ported the first
incremented these releases::incremented these releases
feature " releases::feature " releases
compatible but introduce::compatible but introduce
introduce new features::introduce new features
releases are scheduled::releases are scheduled
scheduled to occur::scheduled to occur
version is supported::version is supported
supported by bugfixes::supported by bugfixes
releases are made::releases are made
number of bugs::number of bugs
months security vulnerabilities::months security vulnerabilities
patched in bugfix::patched in bugfix
number of alpha::number of alpha
released as previews::released as previews
release is made::release is made
ready the development::ready the development
development team monitor::development team monitor
monitor the state::monitor the state
code by running::code by running
running the large::running the large
large unit test::large unit test
unit test suite::unit test suite
suite during development::suite during development
buildbot continuous integration::buildbot continuous integration
continuous integration system::continuous integration system
community of python::community of python
58,000 software modules::58,000 software modules
libraries for python::libraries for python
python the major::python the major
major academic conference::major academic conference
conference on python::conference on python
python is named::python is named
special mentoring programmes::special mentoring programmes
television series monty::television series monty
series monty python::series monty python
monty python references::monty python references
literature are spam::literature are spam
official python documentation::official python documentation
obscure monty python::obscure monty python
references the prefix::references the prefix
related to python::related to python
prefix in names::prefix in names
names of python::names of python
applications or libraries::applications or libraries
libraries include pygame::libraries include pygame
binding of sdl::binding of sdl
sdl to python::sdl to python
symbian s60 operating::symbian s60 operating
s60 operating system::s60 operating system
system ; pyqt::system ; pyqt
pyqt and pygtk::pyqt and pygtk
implementation originally written::implementation originally written
written in python::written in python
popular programming languages::popular programming languages
languages as measured::languages as measured
tiobe programming community::tiobe programming community
programming community index::programming community index
language whose grammatical::language whose grammatical
java an empirical::java an empirical
empirical study found::empirical study found
study found scripting::study found scripting
found scripting languages::found scripting languages
productive than conventional::productive than conventional
programming problem involving::programming problem involving
problem involving string::problem involving string
involving string manipulation::involving string manipulation
manipulation and search::manipulation and search
dictionary memory consumption::dictionary memory consumption
organizations that make::organizations that make
python include google::python include google
python can serve::python can serve
language for web::language for web
apache web server::apache web server
web server gateway::web server gateway
server gateway interface::server gateway interface
api has evolved::api has evolved
evolved to facilitate::evolved to facilitate
facilitate these applications::facilitate these applications
applications web application::applications web application
web application frameworks::web application frameworks
frameworks like django::frameworks like django
flask and zope::flask and zope
zope support developers::zope support developers
design and maintenance::design and maintenance
maintenance of complex::maintenance of complex
complex applications pyjamas::complex applications pyjamas
pyjamas and ironpython::pyjamas and ironpython
develop the client-side::develop the client-side
client-side of ajax-based::client-side of ajax-based
ajax-based applications sqlalchemy::ajax-based applications sqlalchemy
relational database twisted::relational database twisted
framework to program::framework to program
communications between computers::communications between computers
libraries like numpy::libraries like numpy
scipy and matplotlib::scipy and matplotlib
python in scientific::python in scientific
biopython and astropy::biopython and astropy
astropy providing domain-specific::astropy providing domain-specific
providing domain-specific functionality::providing domain-specific functionality
domain-specific functionality sage::domain-specific functionality sage
notebook " programmable::notebook " programmable
programmable in python::programmable in python
covers many aspects::covers many aspects
aspects of mathematics::aspects of mathematics
number of software::number of software
including in finite::including in finite
finite element method::finite element method
element method software::element method software
modeler like freecad::modeler like freecad
visual effects compositor::visual effects compositor
effects compositor nuke::effects compositor nuke
programs like gimp::programs like gimp
scribus and paint::scribus and paint
paint shop pro::paint shop pro
musical notation program::musical notation program
program or scorewriter::program or scorewriter
scorewriter capella gnu::scorewriter capella gnu
capella gnu debugger::capella gnu debugger
debugger uses python::debugger uses python
printer to show::printer to show
show complex structures::show complex structures
containers esri promotes::containers esri promotes
esri promotes python::esri promotes python
choice for writing::choice for writing
scripts in arcgis::scripts in arcgis
adopted as first::adopted as first
languages in google::languages in google
google app engine::google app engine
two being java::two being java
artificial intelligence tasks::artificial intelligence tasks
language with module::language with module
syntax and rich::syntax and rich
rich text processing::rich text processing
text processing tools::text processing tools
natural language processing::natural language processing
language processing tasks::language processing tasks
operating systems include::operating systems include
systems include python::systems include python
terminal a number::terminal a number
number of linux::number of linux
distributions use installers::distributions use installers
red hat linux::red hat linux
linux and fedora::linux and fedora
installer gentoo linux::installer gentoo linux
linux uses python::linux uses python
package management system::package management system
information security industry::information security industry
including in exploit::including in exploit
laptop per child::laptop per child
developed at sugar::developed at sugar
raspberry pi single-board::raspberry pi single-board
single-board computer project::single-board computer project
project has adopted::project has adopted
principal user-programming language::principal user-programming language
user-programming language libreoffice::user-programming language libreoffice
language libreoffice includes::language libreoffice includes
libreoffice includes python::libreoffice includes python
python and intends::python and intends
intends to replace::intends to replace
java with python::java with python
python python scripting::python python scripting
python scripting provider::python scripting provider
python s design::python s design
design and philosophy::design and philosophy
philosophy have influenced::philosophy have influenced
influenced several programming::influenced several programming
boo uses indentation::boo uses indentation
similar object model::similar object model
boo uses static::boo uses static
optional duck typing::optional duck typing
cobra uses indentation::cobra uses indentation
similar syntax cobra::similar syntax cobra
acknowledgements " document::acknowledgements " document
document lists python::document lists python
lists python first::lists python first
first among languages::first among languages
languages that influenced::languages that influenced
cobra directly supports::cobra directly supports
directly supports design-by-contract::directly supports design-by-contract
optional static typing::optional static typing
ecmascript borrowed iterators::ecmascript borrowed iterators
comprehensions from python::comprehensions from python
described as incorporating::described as incorporating
speed of working::speed of working
language like python::language like python
groovy was motivated::groovy was motivated
desire to bring::desire to bring
bring the python::bring the python
python design philosophy::python design philosophy
philosophy to java::philosophy to java
inspired by python::inspired by python
python and haskell::python and haskell
ruby s creator::ruby s creator
wanted a scripting::wanted a scripting
powerful than perl::powerful than perl
object-oriented than python::object-oriented than python
decided to design::decided to design
language that cross-compiles::language that cross-compiles
cross-compiles to javascript::cross-compiles to javascript
python inspired syntax::python inspired syntax
inspired syntax swift::inspired syntax swift
programming language invented::programming language invented
invented by apple::invented by apple
languages the practice::languages the practice
practice of requiring::practice of requiring
requiring a document::requiring a document
describing the rationale::describing the rationale
python s case::python s case
python s influence::python s influence
awarded a tiobe::awarded a tiobe
tiobe programming language::tiobe programming language
growth in popularity::growth in popularity
portal icon free::portal icon free
icon free software::icon free software
free software portal::free software portal
software portal portal::software portal portal
portal portal icon::portal portal icon
portal icon python::portal icon python
icon python programming::icon python programming
python programming portal::python programming portal
programming portal comparison::programming portal comparison
environments for python::environments for python
python for s60::python for s60
s60 off-side rule::s60 off-side rule
off-side rule languages::off-side rule languages
blocks are expressed::blocks are expressed
expressed by indentation::expressed by indentation
comparison of programming::comparison of programming
programming languages list::programming languages list
list of programming::list of programming
programming languages lamp::programming languages lamp
software foundation retrieved::software foundation retrieved
python 2.7.10 release::python 2.7.10 release
python release python::python release python
hinting for python::hinting for python
lwn.net 2014-12-24 retrieved::lwn.net 2014-12-24 retrieved
2015-05-05 ^ jump::2015-05-05 ^ jump
general python faq::general python faq
python faq python::python faq python
faq python software::faq python software
interview with guido::interview with guido
introduction to python::introduction to python
dutch unix users::dutch unix users
unix users group::unix users group
influence on python::influence on python
python is considerable::python is considerable
considerable ^ jump::considerable ^ jump
python tutorial python::python tutorial python
tutorial python software::tutorial python software
class mechanisms found::class mechanisms found
method resolution order::method resolution order
invented by people::invented by people
working on dylan::working on dylan
intended for lispers::intended for lispers
functional programming howto::functional programming howto
python v2.7.2 documentation::python v2.7.2 documentation
v2.7.2 documentation python::v2.7.2 documentation python
documentation python software::documentation python software
neil ; peters::neil ; peters
tim ; hetland::tim ; hetland
python enhancement proposals::python enhancement proposals
enhancement proposals python::enhancement proposals python
proposals python software::proposals python software
skip ; baxter::skip ; baxter
decorators for functions::decorators for functions
functions and methods::functions and methods
control flow tools::control flow tools
perl and python::perl and python
influences in javascript::influences in javascript
axel " chapter::axel " chapter
nature of javascript::nature of javascript
javascript ; influences::javascript ; influences
speaking javascript retrieved::speaking javascript retrieved
julia website february::julia website february
jruby on rails::jruby on rails
ruby on rails::ruby on rails
java platform berkeley::java platform berkeley
isbn 978-1-59059-881-8 jump::isbn 978-1-59059-881-8 jump
lattner s homepage::lattner s homepage
chris lattner retrieved::chris lattner retrieved
product of tireless::product of tireless
team of language::team of language
compiler optimization ninjas::compiler optimization ninjas
incredibly important internal::incredibly important internal
important internal dogfooding::important internal dogfooding
internal dogfooding group::internal dogfooding group
group who provided::group who provided
refine and battle-test::refine and battle-test
ideas from objective-c::ideas from objective-c
list ^ jump::list ^ jump
tiobe software index::tiobe software index
community index python::community index python
programming language trends::programming language trends
redmonk programming language::redmonk programming language
programming language rankings::programming language rankings
mark rapid gui::mark rapid gui
rapid gui programming::rapid gui programming
programming with python::programming with python
write far fewer::write far fewer
lines of python::lines of python
equivalent application written::equivalent application written
section " fans::section " fans
fans of python::fans of python
phrase " batteries::phrase " batteries
describe the standard::describe the standard
processing to zip::processing to zip
files " jump::files " jump
pyinstaller home page::pyinstaller home page
making of python::making of python
artima developer artima::artima developer artima
developer artima retrieved::developer artima retrieved
timeline of python::timeline of python
python google retrieved::python google retrieved
lukewarm about range::lukewarm about range
special method names::special method names
python language reference::python language reference
language reference python::language reference python
reference python software::reference python software
postconditions and class::postconditions and class
invariants for python::invariants for python
contracts for python::contracts for python
itertools – functions::itertools – functions
functions creating iterators::functions creating iterators
iterators for efficient::iterators for efficient
data pretty printer::data pretty printer
david " code::david " code
python a good::python a good
language for beginning::language for beginning
myths about indentation::myths about indentation
indentation in python::indentation in python
differences between python::differences between python
games with python::games with python
isbn 978-0-9821060-1-3 retrieved::isbn 978-0-9821060-1-3 retrieved
tail recursion elimination::tail recursion elimination
artima forums artima::artima forums artima
forums artima retrieved::forums artima retrieved
guido ; eby::guido ; eby
coroutines via enhanced::coroutines via enhanced
guido ; hettinger::guido ; hettinger
explicitly in method::explicitly in method
definitions and calls::definitions and calls
design and history::design and history
history faq python::history faq python
new-style and classic::new-style and classic
moshe ; van::moshe ; van
unifying long integers::unifying long integers
integers and integers::integers and integers
dedicated infix operator::dedicated infix operator
operator for matrix::operator for matrix
changing the division::changing the division
python s integer::python s integer
integer division floors::integer division floors
python standard library::python standard library
python essential reference::python essential reference
david m beazley::david m beazley
build a rapid::build a rapid
